movies id,title,year,rating,genre,scaled_rating
808521,Three Course Meal,2023.0,0.0,Drama,0.0
213189,Vishwanath,1978.0,6.0,Drama,0.6000000000000001
1005728,Kacchey Limbu,2022.0,5.5,Drama,0.55
415908,Machhli Jal Ki Rani Hai,2014.0,4.5,Drama,0.45
312539,Do Ladke Dono Kadke,1979.0,7.5,Drama,0.75
197446,Hattrick,2007.0,5.0,Drama,0.5
218088,Chhota Bheem and Krishna: Mayanagari,2011.0,6.1,Drama,0.61
802793,Jahaan Chaar Yaar,2022.0,0.0,Drama,0.0
363024,Buddha Mil Gaya,1971.0,5.8,Drama,0.58
619006,Aap To Aise Na The,1980.0,0.0,Drama,0.0
432516,Prem Nagar,1974.0,0.0,Drama,0.0
