movies id,title,year,rating,genre
20968,Sarkar,2005.0,6.9,Drama
41968,The Deceivers,1988.0,5.7,Drama
392271,Rangoon,2017.0,6.1,Drama
39839,Baghban,2003.0,6.7,Drama
134446,Chachi 420,1997.0,7.0,Drama
471894,Poster Boys,2017.0,5.1,Drama
20651,Parineeta,2005.0,6.5,Drama
20742,Shootout at Lokhandwala,2007.0,6.4,Drama
606717,Angrezi Medium,2020.0,7.1,Drama
828871,Meenakshi Sundareshwar,2021.0,5.3,Action
799177,Bhediya,2022.0,6.5,Drama
82698,Ladies vs Ricky Bahl,2011.0,6.0,Drama
159664,Mann,1999.0,6.5,Drama
702550,Durgamati: The Myth,2020.0,5.8,Drama
608746,Mumbai Saga,2021.0,5.6,Drama
407547,Beiimaan Love,2016.0,2.7,Romance
897525,A Thursday,2022.0,6.2,Drama
821119,Jaadugar,2022.0,6.6,Drama
399068,Phobia,2016.0,7.0,Drama
20413,Dhamaal,2007.0,6.7,Drama
20359,Phir Hera Pheri,2006.0,6.5,Drama
888268,Anek,2022.0,6.2,Drama
84533,Ek Main Aur Ekk Tu,2012.0,5.5,Drama
20145,36 China Town,2006.0,5.7,Drama
431892,Trapped,2017.0,6.9,Drama
763118,Ganapath,2023.0,2.0,Drama
357563,Welcome Back,2015.0,5.2,Drama
778625,Doctor G,2022.0,6.3,Drama
320295,Detective Byomkesh Bakshy!,2015.0,6.8,Crime
53569,No One Killed Jessica,2011.0,6.8,Drama
19636,Garam Masala,2005.0,5.8,Drama
159090,Duplicate,1998.0,6.1,Drama
41252,Raincoat,2004.0,7.2,Drama
957136,Operation Romeo,2022.0,6.2,Drama
507941,Section 375,2019.0,7.5,Drama
46404,Manorama Six Feet Under,2007.0,6.5,Drama
4252,Chalte Chalte,2003.0,6.2,Drama
19624,Fashion,2008.0,6.4,Drama
503928,Mahabharat,2013.0,6.7,Drama
886440,Dybbuk,2021.0,5.6,Drama
47655,Hisss,2010.0,3.6,Drama
83903,Vaah! Life Ho Toh Aisi!,2005.0,5.3,Drama
69346,Zeher,2005.0,5.3,Drama
1142127,Bawaal,2023.0,6.0,Drama
399624,Befikre,2016.0,5.2,Drama
478682,Gold,2018.0,7.1,Drama
957999,Thank You For Coming,2023.0,5.3,Drama
563150,The Journey of Karma,2018.0,2.0,Drama
54072,Andaaz,2003.0,5.3,Drama
46415,Neal 'n' Nikki,2005.0,4.1,Drama
764081,Ram Setu,2022.0,5.0,Drama
14785,Bandit Queen,1995.0,6.8,Historical
480810,Shaadi Mein Zaroor Aana,2017.0,7.0,Drama
729700,Raksha Bandhan,2022.0,6.0,Drama
370992,Shivaay,2016.0,5.8,Drama
772879,Unpaused,2020.0,6.3,Drama
90634,Hum Tumhare Hain Sanam,2002.0,5.6,Drama
569578,Ascharya Fuck It,2018.0,5.3,Drama
695951,Chehre,2021.0,6.6,Drama
124595,Khoon Bhari Maang,1988.0,7.6,Drama
33125,Border,1997.0,6.5,Drama
283827,Singh Is Bliing,2015.0,5.6,Drama
20390,No Entry,2005.0,5.9,Drama
587317,Bombay Rose,2019.0,6.7,Drama
35687,"LSD: Love, Sex aur Dhokha",2010.0,6.3,Romance
851783,Vikram Vedha,2022.0,6.9,Drama
533237,Karwaan,2018.0,7.2,Drama
547865,Jalebi,2018.0,6.5,Drama
882826,An Action Hero,2022.0,6.3,Drama
799155,Attack,2022.0,7.3,Drama
302431,Rang Rasiya,2014.0,6.2,Drama
237305,Gori Tere Pyaar Mein,2013.0,5.9,Drama
124093,Jism 2,2012.0,4.4,Drama
643534,Good Newwz,2019.0,6.8,Drama
270823,Talaash: The Hunt Begins,2003.0,5.5,Drama
37403,Agneepath,1990.0,6.4,Drama
264085,Bhoothnath Returns,2014.0,6.3,Drama
23848,Halla Bol,2008.0,5.1,Drama
199139,Fukrey,2013.0,6.6,Drama
27964,Qayamat Se Qayamat Tak,1988.0,6.8,Drama
308165,Action Jackson,2014.0,4.4,Drama
614256,Chhota Bheem Kung Fu Dhamaka,2019.0,8.3,Drama
679031,Aankh Micholi,2023.0,0.0,Drama
218779,Besharam,2013.0,4.6,Drama
1046688,Apurva,2023.0,5.5,Drama
161179,Shakti: The Power,2002.0,6.3,Drama
63006,Dum Maaro Dum,2011.0,5.8,Drama
470642,The Hungry,2017.0,5.7,Drama
594673,The Tashkent Files,2019.0,7.7,Drama
513540,Missing,2018.0,6.0,Drama
33104,Don,1978.0,6.4,Drama
627715,Marjaavaan,2019.0,7.4,Drama
41518,Guzaarish,2010.0,7.4,Drama
456562,Raabta,2017.0,6.0,Drama
284288,Mary Kom,2014.0,7.0,Drama
493620,Aiyaary,2018.0,5.7,Drama
85050,Agent Vinod,2012.0,5.5,Drama
34707,Darling,2007.0,3.9,Drama
965087,Phule,2023.0,0.0,Drama
899718,Yodha,2023.0,0.0,Drama
668435,Thappad,2020.0,7.1,Drama
496334,Batti Gul Meter Chalu,2018.0,5.8,Drama
531601,Arjun Patiala,2019.0,4.1,Drama
161834,Jhankaar Beats,2003.0,6.8,Drama
512098,Blackmail,2018.0,6.9,Drama
46375,Barsaat,1995.0,5.2,Drama
547654,Badhaai Ho,2018.0,7.3,Drama
